step,mloss,gloss,loss
162.0,1.1103,1.009,2.1193
163.0,1.1844,1.0031,2.1875
164.0,1.1772,0.9973,2.1745
165.0,1.0856,0.9858,2.0713999999999997
166.0,1.1458,0.998,2.1437999999999997
167.0,1.1377,1.0039,2.1416
168.0,1.1335,1.0006,2.1341
169.0,1.1589,1.0039,2.1628
170.0,1.1295,1.013,2.1425
171.0,1.1227,1.0009,2.1235999999999997
172.0,1.1228,1.0018,2.1246
173.0,1.1296,0.9963,2.1258999999999997
174.0,1.1325,1.0251,2.1576
175.0,1.1706,1.0011,2.1717000000000004
176.0,1.105,0.9853,2.0903
177.0,1.1372,0.9928,2.13
178.0,1.1422,0.9942,2.1364
179.0,1.1264,1.0028,2.1292
180.0,1.136,0.9887,2.1247
181.0,1.1298,1.0029,2.1327
182.0,1.12,1.0112,2.1312
183.0,1.1184,0.9878,2.1062000000000003
184.0,1.109,1.0137,2.1227
185.0,1.1337,1.0027,2.1364
186.0,1.1283,0.9915,2.1198
187.0,1.1407,1.0051,2.1458000000000004
188.0,1.1554,0.9976,2.153
189.0,1.1036,1.0041,2.1077
190.0,1.14,0.9936,2.1336
191.0,1.1283,0.9878,2.1161000000000003
192.0,1.1053,1.0004,2.1056999999999997
193.0,1.1245,1.0028,2.1273
194.0,1.17,1.0148,2.1848
195.0,1.1074,1.0088,2.1162
196.0,1.1436,0.9934,2.137
197.0,1.1652,0.9973,2.1625
198.0,1.1278,1.0185,2.1463
199.0,1.1393,1.0225,2.1618
200.0,1.1669,1.0077,2.1746
201.0,1.1476,0.9908,2.1384
202.0,1.131,1.0051,2.1361
203.0,1.0979,0.9898,2.0877
204.0,1.1213,0.9991,2.1204
205.0,1.1123,0.9924,2.1047000000000002
206.0,1.1618,1.0167,2.1784999999999997
207.0,1.1407,0.9966,2.1373
208.0,1.0946,1.0093,2.1039000000000003
209.0,1.115,1.0102,2.1252
210.0,1.0974,0.9974,2.0947999999999998
211.0,1.1388,1.0141,2.1529
212.0,1.1718,0.991,2.1628
213.0,1.1022,1.0228,2.125
214.0,1.1297,1.0006,2.1303
215.0,1.1338,1.0026,2.1364
216.0,1.0979,0.9951,2.093
217.0,1.1036,0.9974,2.101
218.0,1.1424,1.0116,2.154
219.0,1.0892,0.9989,2.0881
220.0,1.1687,0.9974,2.1661
221.0,1.1258,0.9988,2.1246
222.0,1.1332,0.9893,2.1225
223.0,1.15,1.0015,2.1515
224.0,1.1453,0.9987,2.144
225.0,1.1341,1.0056,2.1397000000000004
226.0,1.1398,1.0167,2.1565
227.0,1.1167,1.0013,2.1180000000000003
228.0,1.1043,1.0033,2.1076
229.0,1.178,1.0174,2.1954000000000002
230.0,1.1249,1.0012,2.1261
231.0,1.0944,0.9989,2.0933
232.0,1.1197,0.9909,2.1106
233.0,1.1351,0.9922,2.1273
234.0,1.1235,1.0104,2.1338999999999997
235.0,1.1441,1.004,2.1481
